Unnamed: 0,Date,Open,High,Low,Close,Volume,SMA_10,RSI_10
0,2026-03-02,398.5499877929688,401.1900024414063,390.6300048828125,392.8599853515625,35474900,,0.0
1,2026-03-03,403.9299926757813,406.7000122070313,392.6700134277344,393.1400146484375,38199200,,12.281828889602735
2,2026-03-04,405.2000122070313,411.0299987792969,400.30999755859375,401.2699890136719,35808000,,73.70728275957987
3,2026-03-05,410.6799926757813,411.6099853515625,404.3999938964844,404.4200134277344,39001300,,74.2931055110018
4,2026-03-06,408.9599914550781,413.0499877929688,408.510009765625,409.2000122070313,31123900,,76.56985141647725
5,2026-03-09,409.4100036621094,410.2099914550781,403.5,404.9200134277344,30131900,,135.48912782179443
6,2026-03-10,405.760009765625,410.2000122070313,402.9299926757813,410.0299987792969,31706400,,124.92717199850023
7,2026-03-11,404.8800048828125,409.010009765625,401.5899963378906,405.5700073242188,25512100,,168.76455645141897
8,2026-03-12,401.8599853515625,406.1199951171875,401.7099914550781,404.6300048828125,27263900,,182.24279195187768
9,2026-03-13,395.5499877929688,404.7999877929688,394.25,401.0,26808000,402.70400390625,263.5131892686299
